DateTime,Open_ES,High_ES,Low_ES,Close_ES,Volume_ES,oi_ES,Symbol_ES,Open_VIX,High_VIX,Low_VIX,Close_VIX,Volume_VIX,oi_VIX,Symbol_VIX,std,Qd4,Qd3,Qd2,Qd1,Qunch,Qu1,Qu2,Qu3,Qu4
2003-09-23,1021.25,1028.5,1019.25,1025.5,623754,367830,@ES#,19.91,19.97,19.31,19.47,0,0,VIX.XO,1.22649471491,1008.61,1011.77,1014.93,1018.09,1021.25,1024.41,1027.57,1030.73,1033.89
2003-09-24,1025.5,1028.25,1006.25,1007.25,923217,365513,@ES#,19.53,21.26,19.44,21.22,0,0,VIX.XO,1.33673435288,1012.92,1016.07,1019.21,1022.36,1025.5,1028.64,1031.79,1034.93,1038.08
2003-09-25,1007.25,1014.5,997.25,997.75,805260,368013,@ES#,21.11,22.27,21.04,22.26,0,0,VIX.XO,1.40224819486,993.79,997.15,1000.52,1003.88,1007.25,1010.62,1013.98,1017.35,1020.71
2003-09-26,997.75,1002.0,994.0,994.5,745028,388341,@ES#,22.28,22.73,21.85,22.23,0,0,VIX.XO,1.4003583725,983.76,987.26,990.75,994.25,997.75,1001.25,1004.75,1008.24,1011.74
2003-09-29,995.25,1005.5,992.75,1004.25,756865,381686,@ES#,22.85,22.85,21.64,21.67,0,0,VIX.XO,1.36508168835,980.57,984.06,987.54,991.02,994.5,997.98,1001.46,1004.94,1008.43
2003-09-30,1003.75,1005.0,987.75,994.0,1004864,385390,@ES#,22.04,23.26,22.03,22.72,0,0,VIX.XO,1.43122547113,990.54,993.97,997.4,1000.82,1004.25,1007.68,1011.1,1014.53,1017.96
2003-10-01,995.5,1017.0,995.0,1016.5,915508,394365,@ES#,22.81,22.82,20.99,21.07,0,0,VIX.XO,1.32728524105,979.77,983.33,986.89,990.44,994.0,997.56,1001.11,1004.67,1008.23
2003-10-02,1016.25,1021.0,1011.5,1019.5,727229,404827,@ES#,21.23,21.45,20.71,20.8,0,0,VIX.XO,1.31027683977,1003.01,1006.38,1009.75,1013.13,1016.5,1019.87,1023.25,1026.62,1029.99
2003-10-03,1019.5,1038.0,1018.0,1028.5,831490,413769,@ES#,19.94,20.09,18.95,19.5,0,0,VIX.XO,1.22838453728,1006.14,1009.48,1012.82,1016.16,1019.5,1022.84,1026.18,1029.52,1032.86
2003-10-06,1027.0,1035.0,1026.25,1033.5,332455,407843,@ES#,20.69,20.69,19.45,19.51,0,0,VIX.XO,1.22901447807,1015.87,1019.02,1022.18,1025.34,1028.5,1031.66,1034.82,1037.98,1041.13
2003-10-07,1033.5,1038.25,1024.25,1037.25,834746,427825,@ES#,20.14,20.14,19.4,19.41,0,0,VIX.XO,1.22271507018,1020.8,1023.97,1027.15,1030.32,1033.5,1036.68,1039.85,1043.03,1046.2
2003-10-08,1037.75,1039.75,1029.0,1035.0,658006,424571,@ES#,19.26,19.61,19.08,19.18,0,0,VIX.XO,1.20822643205,1024.57,1027.74,1030.91,1034.08,1037.25,1040.42,1043.59,1046.76,1049.93
2003-10-09,1035.0,1047.25,1033.0,1038.5,771553,451005,@ES#,18.51,19.28,18.26,18.82,0,0,VIX.XO,1.18554856367,1022.49,1025.62,1028.75,1031.87,1035.0,1038.13,1041.25,1044.38,1047.51
2003-10-10,1037.75,1042.5,1034.0,1040.5,503349,447309,@ES#,18.92,18.92,18.42,18.45,0,0,VIX.XO,1.1622407545,1026.19,1029.27,1032.34,1035.42,1038.5,1041.58,1044.66,1047.73,1050.81
2003-10-13,1040.5,1048.0,1039.5,1044.5,307181,463345,@ES#,17.62,17.91,17.42,17.55,0,0,VIX.XO,1.10554608355,1028.41,1031.43,1034.45,1037.48,1040.5,1043.52,1046.55,1049.57,1052.59
2003-10-14,1044.5,1049.5,1039.0,1047.5,567501,475326,@ES#,17.4,17.79,17.2,17.37,0,0,VIX.XO,1.09420714936,1032.95,1035.84,1038.73,1041.61,1044.5,1047.39,1050.27,1053.16,1056.05
2003-10-15,1048.25,1055.75,1041.5,1044.5,661440,467195,@ES#,17.73,17.96,16.98,17.69,0,0,VIX.XO,1.11436525459,1036.04,1038.9,1041.77,1044.63,1047.5,1050.37,1053.23,1056.1,1058.96
2003-10-16,1043.0,1052.25,1041.25,1049.25,733689,494074,@ES#,17.58,18.05,16.86,17.19,0,0,VIX.XO,1.08286821517,1032.86,1035.77,1038.68,1041.59,1044.5,1047.41,1050.32,1053.23,1056.14
2003-10-17,1047.75,1052.0,1034.75,1037.75,608788,464043,@ES#,16.97,17.85,16.97,17.62,0,0,VIX.XO,1.10995566907,1037.89,1040.73,1043.57,1046.41,1049.25,1052.09,1054.93,1057.77,1060.61
2003-10-20,1037.5,1045.5,1034.25,1045.25,549399,481043,@ES#,17.84,18.07,17.04,17.04,0,0,VIX.XO,1.07341910335,1026.23,1029.11,1031.99,1034.87,1037.75,1040.63,1043.51,1046.39,1049.27
